id,name,content,sight,choice1,result1,possibility1,reward1,next1,choice2,result2,possibility2,reward2,next2
1,探险结束,你决定结束这次探险。,0,0,0,0,0,0,0,0,0,0,0
2,河谷听蛙鸣,黄昏时分你抵达河谷，空气湿润，万物宁静中传来一阵富有节奏的蛙类交响乐。,river,仔细观察寻找,你悄悄拨开植物，在一片宽大的菖蒲叶上，发现了一只几乎与环境融为一体的绿色【东北雨蛙】。,100%,16,3,闭目听声辨位,你分辨出浑厚的声部，循声在一块卵石背后，找到了正在鼓动腮帮子的【黑龙江林蛙】。,100%,18,3
3,意外的足迹,在河谷开阔的泥滩上，你发现了一串巨大的蹄印，远超任何鹿类。蹄印旁的水生植物还有刚被啃食的新鲜痕迹。,river,立刻循迹追踪,“咔嚓”一声，你不小心踩断了一根枯枝。远处的灌木丛一阵剧烈晃动，传来巨大的奔跑声，但当你赶到时，它已经消失得无影无踪。但是获得线索：白色毛发。,0,0,4,寻找制高点观察,你爬上高处岩石，用高倍望远镜耐心搜索，最终锁定河对岸一个巨大的身影。它显露出标志性的巨角，是【驼鹿】！,100%,30,4
4,掠影,在你返回营地的路上，一道模糊的身影“唰”地一下从你面前的草丛中飞速掠过，瞬间激发了你的好奇心。,start,快步跟上去查看,你急切追逐，却忘了脚上是厚重的登山靴，不慎踩在松石上扭伤了脚踝，只能放弃。明白了“工欲善其事，必先利其器”的道理。,100%,0,1,保持距离，静待观察,你克制住冲动，隐蔽在树后耐心等待。几分钟后，一只警惕的【蒙古兔】再次出现，让你看清了它雪白的保护色。,20%,21,5
5,新的一天,经过一夜休整，昨日的经历都已化为经验。晨光熹微，你站在营地门口，面前是两条通往不同生态区域的道路。,start,前往针叶林区,你踏上北方的道路，空气愈发清冷。在一棵松树下，你看到一只毛茸茸的【松鼠】正抱着松果灵活地啃食着。,100%,22,6,前往阔叶林区,你选择了南向的小径，这里的植被更丰富。一只背上有五道条纹的【花鼠】，警惕地从地洞里钻出观察四周。,100%,23,7
6,高山飞羽,你沿着针叶林的小路一路向上，地势逐渐抬升，最终来到开阔的高山地带。几只色彩斑斓的鸟儿飞向远处的岩壁。,mountain,尝试到岩壁附近查看,高山岩壁比看上去更难攀登。当你气喘吁吁地赶到近处时，警觉的鸟儿早已飞走，只留下一些被啄开的松果壳。,100%,0,8,留在原地，远远眺望,你拿出望远镜，清晰地看到它们正用喙灵巧地取食石缝中的松子。通过比对图鉴，你成功辨认出是【星鸦】。,100%,7,8
7,密林鸟语,你深入植被愈发稠密的阔叶林，光线变暗。突然，一阵奇特的“咕咕”声从林中开阔地传来，似乎有鸟群在聚集。,forest,拿出录音设备和图鉴进行比对,你用设备录下声音并与图鉴比对，确认是【黑琴鸡】的求偶声！你悄悄靠近，最终有幸目睹了传说中的“跑圈斗舞”。,100%,36,1,直接循着声音摸过去,你的贸然靠近暴露了自己。随着一阵巨大的翅膀扑腾声，受惊的鸟群瞬间四散而去，现场只留下一片狼藉。,100%,0,1
8,高山之顶,你成功登顶，来到了这片区域的最高处。山顶上狂风呼啸，吹得人几乎站不稳。这里的环境比山腰的岩石地带更为恶劣，似乎已经超越了生命的禁区。,mountain,沿着相对避风的山脊南坡（背风坡）前进。,你选择了更容易行走的背风坡。这里的风力明显小了很多，你甚至能看到一些顽强的草本植物在岩石间生长。你安全地绕行了一圈，虽然欣赏了壮丽的风景，却没有发现任何特别的植物。,0,0,1,顶着强风，前往风力最强劲的山脊北坡（迎风坡）探索。,你震惊地发现，脚下的“地面”并非岩石或土壤，而是一片被风压制得几乎无法抬头的奇特矮松林！它们的主干匍匐在地，枝条紧紧地交织在一起，形成了一张巨大的绿色地毯。这正是为了抵抗强风而生的【偃松】。,100%,34,1
9,洞口,你在一个隐蔽的土坡上发现了一个巨大的洞口，有新鲜爪印。,forest,用红外照相机拍摄,几天后可以获得 [亚洲狗獾] 的清晰照片。,100%,29,1, 在附近蹲守,可能因为人的气味和声音惊扰到动物，你一无所获。,0,0,1
10,受伤的狍子,你在营地附近观察时，发现了一只受伤的小狍子,start,用背包中的东西进行急救,狍子经过你的救助，慢慢离开了,100%,20,4,临时返回保护站寻找救助物资,当你再次返回原地时，狍子已经消失不见了，你决定前往河谷看看,0,0,3
